"front","back","tags"
"Toggle between Object and Edit mode?","Tab","blender,shortcut"
"Move/grab selection?","G","blender,shortcut"
"Rotate selection?","R","blender,shortcut"
"Scale selection?","S","blender,shortcut"
"Constrain transform to X axis (after G/R/S)?","X","blender,shortcut"
"Frame selected in viewport?","Numpad . (period)","blender,shortcut"
"Frame all in viewport?","Home","blender,shortcut"
"Front orthographic view?","Numpad 1","blender,shortcut"
"Side (right) orthographic view?","Numpad 3","blender,shortcut"
"Top orthographic view?","Numpad 7","blender,shortcut"
"Toggle ortho/perspective?","Numpad 5","blender,shortcut"
"Camera view?","Numpad 0","blender,shortcut"
"Add object menu?","Shift+A","blender,shortcut"
"Duplicate selection?","Shift+D","blender,shortcut"
"Duplicate as linked instance?","Alt+D","blender,shortcut"
"Loop cut tool?","Ctrl+R","blender,shortcut"
"Bevel tool (Edit Mode)?","Ctrl+B","blender,shortcut"
"Inset face?","I","blender,shortcut"
"Extrude?","E","blender,shortcut"
"Knife tool?","K","blender,shortcut"
"Make face / fill?","F","blender,shortcut"
"Merge menu?","M (Edit Mode)","blender,shortcut"
"Separate selection to new object?","P","blender,shortcut"
"Join selected objects?","Ctrl+J (Object Mode)","blender,shortcut"
"Adjust last operation?","F9","blender,shortcut"
"Search all operators?","F3","blender,shortcut"
"Save file?","Ctrl+S","blender,shortcut"
"Toggle sidebar?","N","blender,shortcut"
"Toggle toolbar?","T","blender,shortcut"
"Vertex select mode (Edit)?","1","blender,shortcut"
"Edge select mode (Edit)?","2","blender,shortcut"
"Face select mode (Edit)?","3","blender,shortcut"
"Loop-select an edge?","Alt+click","blender,shortcut"
"Recalculate normals outside?","Shift+N","blender,shortcut"
"Apply transformation menu?","Ctrl+A","blender,shortcut"
"What does Subdivision Surface modifier do?","Smooths geometry via Catmull-Clark subdivision","blender,modifier"
"What does Mirror modifier do?","Mirrors mesh across an axis (X by default)","blender,modifier"
"What does Solidify modifier do?","Adds thickness to a flat surface","blender,modifier"
"What does Boolean (Exact) modifier do?","Combines meshes via union/difference/intersect","blender,modifier"
"Why use weighted edge creases sparingly?","They're a crutch; control loops give better results","blender,topology"
"What's a 5-pole?","Vertex where 5 edges meet (E-pole)","blender,topology"
"What's a 3-pole?","Vertex where 3 edges meet (N-pole)","blender,topology"
"Color space for normal maps?","Non-Color (linear)","blender,shading"
"Color space for albedo/color textures?","sRGB","blender,shading"
"Color space for roughness/metallic maps?","Non-Color","blender,shading"
"What's the default view transform in Blender 4.x?","AgX","blender,rendering"
"How to mark a face for sharp shading after Subsurf?","Add a control loop close to the edge","blender,topology"
