"front","back","tags"
"Default scripting language in Godot?","GDScript (Python-like, fast iteration, fully integrated)","godot"
"Order of node lifecycle callbacks?","_init → _enter_tree → _ready → _process / _physics_process → _exit_tree","godot,lifecycle"
"When does _ready run?","Once when the node and ALL its descendants enter the scene tree","godot,lifecycle"
"What's the per-physics-tick callback?","_physics_process(delta)","godot,lifecycle"
"What does @export do?","Exposes a variable to the Inspector","godot,gdscript"
"How to access a child node by path?","$Path/To/Child or get_node('Path/To/Child')","godot,gdscript"
"How to access a unique-named node?","%UniqueName (set Access as Unique Name in scene dock)","godot,gdscript"
"What's @onready?","Defers initialization to _ready time (so $Child references work)","godot,gdscript"
"How to declare a custom signal?","signal my_signal(param: Type)","godot,signals"
"How to emit a signal?","my_signal.emit(args)","godot,signals"
"How to connect a signal in code?","node.signal_name.connect(_callback)","godot,signals"
"What method makes a CharacterBody actually move?","move_and_slide() (after setting velocity)","godot,physics"
"Why use CharacterBody2D vs RigidBody2D?","CharacterBody for direct control (platformer); RigidBody for physics-driven","godot,physics"
"What's an Autoload?","A singleton script/scene loaded at startup, accessible globally by name","godot"
"What's a Custom Resource?","Subclass of Resource with @export fields; like ScriptableObject for Godot","godot,resources"
"Save resource extension?","Text: .tres / Binary: .res","godot,resources"
"How does a node check if it's on the ground?","is_on_floor() — only valid after move_and_slide()","godot,physics"
"Default 2D coordinate system origin?","Top-left of screen, +Y down","godot,2d"
"Default 3D forward direction?","-Z (negative Z) is forward","godot,3d"
"Where do user save files go?","user:// — resolves to OS-appropriate path automatically","godot,io"
"How to change scene?","get_tree().change_scene_to_file('res://scenes/level.tscn')","godot,scenes"
"Default renderer for desktop?","Forward+ (Vulkan)","godot,renderer"
"Best renderer for mobile/web?","Mobile or Compatibility","godot,renderer"
"How to declare a typed variable in GDScript?","var x: int = 0  (or  var x := 0  for inference)","godot,gdscript"
"How to mark a function with strict types?","func name(arg: Type) -> ReturnType:","godot,gdscript"
"What does instantiate() do?","Creates an instance of a PackedScene","godot,scenes"
"How to preload a scene?","preload('res://scene.tscn')  (vs load() at runtime)","godot,scenes"
"What's a Tween?","Created with create_tween(); interpolates properties over time","godot,animation"
"Common reason a signal doesn't fire?","Connected in editor AND code (double-fires) or wrong receiver method name","godot,debug"
"Format for @rpc?","@rpc('any_peer', 'call_local')","godot,multiplayer"
