"front","back","tags"
"FL Studio shortcut for Channel Rack?","F6","fl,shortcut"
"FL Studio shortcut for Piano Roll?","F7","fl,shortcut"
"FL Studio shortcut for Playlist?","F5","fl,shortcut"
"FL Studio shortcut for Mixer?","F9","fl,shortcut"
"FL Studio shortcut for Browser?","F8","fl,shortcut"
"Toggle metronome?","Click metronome icon in top toolbar","fl,shortcut"
"Save project?","Ctrl+S","fl,shortcut"
"Rename selected mixer track or channel?","F2","fl,shortcut"
"Difference between Channel and Mixer Track?","Channel = sound source (instrument/sample); Mixer Track = effects + routing destination","fl,concept"
"Default routing for new channel?","Master (insert 0) — must explicitly route to a numbered insert for per-channel effects","fl,concept"
"What's a Pattern in FL?","A named collection of notes/steps for any number of channels","fl,concept"
"What's the Playlist?","Timeline where Patterns and audio clips arrange into a song","fl,concept"
"FL native EQ?","Fruity Parametric EQ 2","fl,plugin"
"FL native compressor for limiting/sidechain?","Fruity Limiter (has COMP and LIMIT modes)","fl,plugin"
"FL native multiband processor?","Maximus","fl,plugin"
"FL native FM/additive/subtractive synth?","Sytrus (Signature edition+)","fl,plugin"
"FL native preset-driven 'easy' synth?","FLEX","fl,plugin"
"FL native simple 3-osc synth?","3xOsc","fl,plugin"
"FL native pitch correction tool?","Newtone (Producer edition+)","fl,plugin"
"FL native time-stretching tool?","NewTime / Slicex","fl,plugin"
"How to enable sidechain compression in Fruity Limiter?","Right-click input level → 'Sidechain to this track from...' → pick source mixer track","fl,sidechain"
"Recommended sidechain settings for kick→bass pumping?","Threshold -18, Ratio 4:1, Attack 1ms, Release 100ms, ~6dB GR","fl,sidechain"
"Default time signature?","4/4","fl,project"
"How to set BPM?","Top toolbar BPM display, or Ctrl+T","fl,project"
"What's PFL or solo?","Pre-fader listen / solo a single mixer track","fl,mixer"
"Recommended track peak level (gain staging)?","-12 to -6 dBFS","fl,mixing"
"Loudness target for streaming (Spotify, Apple Music)?","-14 LUFSi","fl,mastering"
"Best free FL alternative wavetable synth?","Vital","fl,plugin"
"Industry-standard EQ plugin (paid)?","FabFilter Pro-Q 3","fl,plugin"
"What's an automation clip?","Recorded knob/parameter automation that lives on the Playlist","fl,automation"
"How to create automation clip?","Right-click any knob → Create automation clip","fl,automation"
"How to record MIDI from controller?","Enable in Options > MIDI Settings; arm record on channel; press play","fl,recording"
"Best practice: order of mixing operations?","Gain stage → EQ (cut) → Compress → EQ (boost) → Saturation → Reverb/Delay (sends) → Pan/Stereo → Master","fl,mixing"
"What does 'freeze' a mixer track mean?","Render to audio + bypass plugins to save CPU","fl,performance"
"How to share a project with all samples?","File > Save As Zip Loop Package","fl,sharing"
"Why a sound stops working after re-opening?","Sample referenced from a moved/deleted disk location — use Save As Zip Loop","fl,gotcha"
"Which FL editions support audio recording?","Producer edition and above (Fruity edition is MIDI-only)","fl,editions"
"Image-Line's killer policy?","Lifetime free updates — buy once, every future version included","fl,policy"
"Recommended buffer size for recording vs mixing?","Recording: 128 samples (low latency); Mixing: 512-1024 (stable)","fl,perf"
"What's parallel compression?","Heavy compression on a parallel send blended under dry — sustain without crushing transients","fl,mixing"
