"front","back","tags"
"How many semitones is a minor 2nd?","1","music,interval"
"How many semitones is a major 2nd?","2","music,interval"
"How many semitones is a minor 3rd?","3","music,interval"
"How many semitones is a major 3rd?","4","music,interval"
"How many semitones is a perfect 4th?","5","music,interval"
"How many semitones is a tritone?","6","music,interval"
"How many semitones is a perfect 5th?","7","music,interval"
"How many semitones is a minor 6th?","8","music,interval"
"How many semitones is a major 6th?","9","music,interval"
"How many semitones is a minor 7th?","10","music,interval"
"How many semitones is a major 7th?","11","music,interval"
"How many semitones is an octave?","12","music,interval"
"Pattern of whole/half steps for major scale?","W W H W W W H","music,scale"
"Pattern of whole/half steps for natural minor?","W H W W H W W","music,scale"
"Notes in C major scale","C D E F G A B C","music,scale"
"Notes in G major scale","G A B C D E F# G","music,scale"
"Notes in D major scale","D E F# G A B C# D","music,scale"
"Notes in A major scale","A B C# D E F# G# A","music,scale"
"Notes in F major scale","F G A Bb C D E F","music,scale"
"Notes in Bb major scale","Bb C D Eb F G A Bb","music,scale"
"Relative minor of C major?","A minor","music,key"
"Relative minor of G major?","E minor","music,key"
"Relative minor of D major?","B minor","music,key"
"Relative minor of F major?","D minor","music,key"
"Sharps in G major key signature?","1 (F#)","music,key-signature"
"Sharps in D major?","2 (F#, C#)","music,key-signature"
"Sharps in A major?","3 (F#, C#, G#)","music,key-signature"
"Flats in F major?","1 (Bb)","music,key-signature"
"Flats in Bb major?","2 (Bb, Eb)","music,key-signature"
"Flats in Eb major?","3 (Bb, Eb, Ab)","music,key-signature"
"Diatonic chord pattern in major (Roman)?","I ii iii IV V vi vii°","music,harmony"
"Quality of I chord in major?","Major","music,harmony"
"Quality of ii chord in major?","Minor","music,harmony"
"Quality of vii° chord in major?","Diminished","music,harmony"
"Notes in C major triad?","C-E-G","music,chord"
"Notes in F major triad?","F-A-C","music,chord"
"Notes in G major triad?","G-B-D","music,chord"
"Notes in A minor triad?","A-C-E","music,chord"
"Notes in D minor triad?","D-F-A","music,chord"
"Notes in E minor triad?","E-G-B","music,chord"
"Notes in C major 7?","C-E-G-B","music,chord"
"Notes in G dominant 7?","G-B-D-F","music,chord"
"Notes in D minor 7?","D-F-A-C","music,chord"
"Notes in B half-diminished 7?","B-D-F-A","music,chord"
"What is I-V-vi-IV in C?","C-G-Am-F","music,progression"
"What is vi-IV-I-V in C?","Am-F-C-G","music,progression"
"What is ii-V-I in C? (7ths)","Dm7-G7-Cmaj7","music,progression"
"12-bar blues pattern in C (basic)?","C C C C / F F C C / G F C G (or last G→C)","music,progression"
"Mode starting on D in C major?","D Dorian","music,mode"
"Mode starting on E in C major?","E Phrygian","music,mode"
"Mode starting on F in C major?","F Lydian","music,mode"
"Mode starting on G in C major?","G Mixolydian","music,mode"
"Mode starting on A in C major?","A Aeolian (natural minor)","music,mode"
"Mode starting on B in C major?","B Locrian","music,mode"
"Function of I chord?","Tonic — home","music,function"
"Function of V chord?","Dominant — wants to resolve to I","music,function"
"Function of IV chord?","Subdominant — departure","music,function"
"Function of vi chord?","Tonic substitute (relative minor)","music,function"
"What is a triad's first inversion?","Third in the bass (e.g., C/E means E-G-C)","music,inversion"
"What is a triad's second inversion?","Fifth in the bass (e.g., C/G means G-C-E)","music,inversion"
"Voice-leading rule of thumb?","Move each voice the smallest distance possible; shared notes stay","music,voice-leading"
"What's a leading tone?","The 7th scale degree; pulls up to the tonic","music,theory"
"What's a secondary dominant?","V7 of a chord that's not the tonic; e.g., D7 → G is V7/V in C","music,theory"
"Borrowed iv in major (in C)?","Fm — adds melancholy","music,theory"
"Borrowed bVI in major (in C)?","Ab — heroic / cinematic","music,theory"
"Borrowed bVII in major (in C)?","Bb — rock/folk","music,theory"
"Most common pop song form?","Verse–Chorus (V-C-V-C-B-C)","music,form"
"What's an AABA form?","32-bar form: A section, A repeat, B (bridge), A repeat","music,form"
