"front","back","tags"
"What's a market order?","Executes immediately at best available price","trading,orders"
"What's a limit order?","Executes only at your price or better","trading,orders"
"What's a stop-loss?","Becomes a market order when price hits the stop level","trading,orders"
"What's a stop-limit?","Becomes a limit order when stop is hit","trading,orders"
"What's an OCO order?","One-cancels-other: stop + target linked, filling one cancels the other","trading,orders"
"What's a GTC order?","Good til canceled — stays open until filled or canceled","trading,orders"
"What's MOC?","Market-on-close — executes at closing auction","trading,orders"
"PDT rule?","≥4 day trades in 5 business days flags Pattern Day Trader; needs $25k min equity","trading,regulatory"
"Settlement (US equities) since May 2024?","T+1 (one business day)","trading,settlement"
"1% rule of position sizing?","Risk no more than 1% of total equity on any single trade","trading,risk"
"Formula for shares given risk and stop?","shares = (account_equity × risk%) / (entry − stop)","trading,risk"
"Drawdown to recover from -50%?","+100%","trading,math"
"Drawdown to recover from -25%?","+33%","trading,math"
"Expectancy formula?","(win_rate × avg_win) − (loss_rate × avg_loss)","trading,math"
"What's the wash sale rule?","Selling at a loss + buying substantially identical within 30 days disallows the loss for tax","trading,tax"
"Short-term vs long-term cap gains threshold?","Held <1 year = short-term (ordinary income); ≥1 year = long-term (preferential rates)","trading,tax"
"What's PFOF?","Payment for Order Flow — broker gets paid by market makers for routing your orders","trading,broker"
"What's the bid-ask spread?","Difference between highest buy (bid) and lowest sell (ask) price","trading,mechanics"
"What's slippage?","Difference between expected price and actual fill price","trading,mechanics"
"What's R in trading journal?","Reward in units of risk — a +2R trade made twice the risked amount","trading,risk"
"Recommended retirement account priority order?","401k to match → Roth IRA → 401k full → HSA → taxable","trading,planning"
"3-fund portfolio breakdown (default)?","~70% US (VTI) / ~20% international (VXUS) / ~10% bonds (BND)","trading,passive"
"Most retail day traders perform how over multi-year horizons?","70-90% lose money (multiple academic studies)","trading,reality"
"What's PEAD?","Post-Earnings-Announcement Drift — stocks beating earnings tend to drift higher for weeks","trading,anomaly"
"Common backtest pitfall: using current S&P 500 list?","Survivorship bias — ignores companies that went to zero","trading,backtest"
"What's an FTSE / S&P MOC auction?","Market-on-close auction; massive volume; institutional flow concentrates here","trading,mechanics"
"Define 'edge' in trading?","A statistically positive expectation after costs and taxes","trading,concept"
