"front","back","tags"
"Color of float socket?","Gray","blender,shaders,sockets"
"Color of vector socket?","Purple","blender,shaders,sockets"
"Color of color socket?","Yellow","blender,shaders,sockets"
"Color of shader socket?","Green","blender,shaders,sockets"
"Color of geometry socket (Geo Nodes)?","Teal","blender,shaders,sockets"
"What's the root of a shader graph?","Material Output node","blender,shaders"
"How to attach viewer node?","Ctrl+Shift+click on any node","blender,shaders,debug"
"Group selected nodes?","Ctrl+G","blender,shaders"
"Enter/exit a node group?","Tab","blender,shaders"
"What does Principled BSDF require for Metallic input?","0 or 1, no middle (real surfaces are dielectric or metal)","blender,shaders,principled"
"What does Texture Coordinate node provide?","Coordinate inputs (UV, Generated, Object, Camera, Window)","blender,shaders"
"What does ColorRamp do?","Remaps a 0-1 value to a custom gradient","blender,shaders"
"What does Noise Texture > Detail control?","Number of fractal octaves of noise","blender,shaders"
"What does Voronoi 'Distance to Edge' return?","Distance to nearest cell border (gives skeleton)","blender,shaders"
"Pointiness in Geometry node — works in EEVEE?","No, Cycles only (EEVEE returns 0)","blender,shaders"
"What's a 'field' in Geometry Nodes?","A function that evaluates per element (vertex/face/etc)","blender,geo-nodes"
"Geometry Nodes domains?","Point, Edge, Face, Corner, Curve, Spline, Instance","blender,geo-nodes"
"What does Capture Attribute do?","Locks a field's value to a specific domain","blender,geo-nodes"
"What does Realize Instances do?","Converts instances to actual geometry (breaks instancing)","blender,geo-nodes"
"How to read a custom attribute in shader from geo nodes?","Store Named Attribute → Attribute node with same name","blender,geo-nodes"
"OSL is supported in?","Cycles CPU only","blender,osl"
"What does Mix Shader do?","Blends two BSDFs with a scalar factor","blender,shaders"
"Most common reason a material is black?","Not connected to Surface input of Material Output","blender,shaders,debug"
"Bake type for normal map?","Cycles → Bake → Type: Normal","blender,baking"
"What's the SRP Batcher's role in URP/HDRP context (general)?","Reduces draw call overhead by binding shader properties efficiently","blender,shaders"
