"front","back","tags"
"IRC stands for?","International Residential Code","home,code"
"IECC stands for?","International Energy Conservation Code","home,code"
"NEC is published by?","NFPA (National Fire Protection Association); aka NFPA 70","home,code"
"AHJ stands for?","Authority Having Jurisdiction (your local building department)","home,code"
"Egress window minimum net opening (IRC R310)?","5.7 sq ft","home,code,egress"
"Egress window minimum height?","24 inches","home,code,egress"
"Egress window minimum width?","20 inches","home,code,egress"
"Egress window maximum sill height?","44 inches","home,code,egress"
"Stair max rise per IRC?","7-3/4 inches","home,code,stairs"
"Stair min run per IRC?","10 inches","home,code,stairs"
"Stair headroom min?","6 ft 8 in (80 inches)","home,code,stairs"
"Stair guard min height?","36 inches","home,code,stairs"
"Maximum guard baluster spacing?","Less than 4-inch sphere","home,code,stairs"
"What's an ACH50 measurement?","Air changes per hour at 50 Pa pressure differential (blower door test)","home,energy"
"IECC code threshold ACH50 for CZ 3-8?","≤ 3 ACH50","home,energy"
"What does 'continuous insulation' mean?","Insulation outside the studs/framing, breaking thermal bridges","home,envelope"
"Manual J calculates?","Heating and cooling loads (BTU/hr)","home,hvac"
"Manual S is for?","Equipment selection from Manual J load","home,hvac"
"Manual D is for?","Duct design","home,hvac"
"Manual T is for?","Air distribution / register selection","home,hvac"
"Order of Lstiburek's four control layers?","Bulk water → Air → Vapor → Heat","home,building-science"
"Most common building failure mode?","Bulk water management (rain leaks)","home,building-science"
"Recommended contingency for first-time owner-builder?","15-20% minimum","home,budget"
"Typical soft-cost percentage?","10-20% of hard costs","home,budget"
"Color space rule for normal maps (general PBR)?","Tangent space, OpenGL convention; Non-Color in Blender","home,3d-related"
"Ground snow load applies where in design?","Roof live loads; structural sizing","home,structural"
"What's SDC in seismic design?","Seismic Design Category — A through F based on Ss and S1 values","home,structural"
"Common min soil bearing assumed when no geotech?","1500 psf per IRC R401.4.1","home,structural"
"NEC 220 covers?","Branch circuit and feeder load calculations","home,electrical"
"Why use a heat pump water heater?","2-4× more efficient than electric resistance; conditioned space cooling bonus","home,mep"
"Unvented attic insulation (CZ 4) typical R-value?","R-49 nominal; spray foam at roof deck","home,energy"
"What's a HERS index?","Home Energy Rating System; 100 = code-min reference; lower is better","home,energy"
"What does Pattern Language teach?","Quality of spaces from human-scale design patterns; Christopher Alexander","home,design"
