"front","back","tags"
"Order of MonoBehaviour callbacks (load → first frame)?","Awake → OnEnable → Start → Update","unity,lifecycle"
"When does Awake run?","Once when GameObject loads, before any Start","unity,lifecycle"
"When does Start run?","Once before the first Update, after all Awakes","unity,lifecycle"
"What runs at the physics tick rate?","FixedUpdate","unity,lifecycle"
"What runs after all Updates?","LateUpdate (use for camera follow)","unity,lifecycle"
"What's [SerializeField] for?","Exposes private fields to the Inspector","unity,scripting"
"Why prefer [SerializeField] private over public?","Encapsulation: serialized to editor without leaking access to other scripts","unity,scripting"
"How to make a GameObject a Prefab?","Drag from Hierarchy into Project window","unity,prefabs"
"Difference between Prefab Variant and nested Prefab?","Variant inherits from base prefab; nested is a prefab inside another scene/prefab","unity,prefabs"
"What is a ScriptableObject?","A Unity asset class — for shared data, not GameObjects","unity,so"
"Why prefer SO event channels over singletons?","Decoupling — neither side needs a reference to the other","unity,so,architecture"
"Multiply movement by what for frame-rate independence?","Time.deltaTime","unity,scripting"
"Multiply velocity by what in FixedUpdate?","Time.fixedDeltaTime (or just use velocity directly with Rigidbody)","unity,scripting"
"What's IObjectPool<T> for?","Pooling spawned objects (bullets, enemies) to avoid Instantiate/Destroy GC","unity,performance"
"When to use FixedUpdate vs Update?","FixedUpdate for physics (Rigidbody); Update for input + game logic","unity,lifecycle"
"What does [RequireComponent(typeof(Rigidbody))] do?","Auto-adds Rigidbody when this script is added; prevents removal while script is on","unity,attribute"
"What is Pattern Day Trader rule (US)? (relevance: trading)","≥4 day trades in 5 business days flags PDT in margin accts; needs $25k minimum","trading,pdt"
"How to load a scene by name?","SceneManager.LoadScene(\"SceneName\")","unity,scenes"
"Default render pipeline for new Unity 6 LTS 3D projects?","URP (Universal Render Pipeline)","unity,rendering"
"What does Apply Root Motion control?","Whether the Animator moves the GameObject (vs script-driven movement)","unity,animation"
"How to set up an Animator parameter from script?","animator.SetFloat / SetBool / SetTrigger","unity,animation"
"How to call a method when a 2D area is entered (with rigidbody)?","OnTriggerEnter2D, both colliders set; one trigger, one with rigidbody","unity,physics"
"Path used for cross-platform persistent saves?","Application.persistentDataPath","unity,io"
"Format-correct: a JsonUtility-serializable class needs?","[System.Serializable] on the class; public fields or [SerializeField]","unity,io"
"Modern UI system in Unity 6?","UI Toolkit (UXML/USS); uGUI (Canvas) is legacy but still used","unity,ui"
"What's an OCO order?","One-cancels-other; placing a stop and target where filling one cancels the other","trading,orders"
"Common reason OnTriggerEnter doesn't fire?","Neither object has Rigidbody, or no collider is set Trigger","unity,physics,debug"
"Why is Update vs FixedUpdate movement choice important?","FixedUpdate for Rigidbody movement (smooth physics interp); Update for direct transform","unity,lifecycle"
